ensembl_transcript_id_version	ensembl_gene_id
ENSRNOT00000111505.1	ENSRNOG00000069093
ENSRNOT00000014103.2	ENSRNOG00000010349
ENSRNOT00000110276.1	ENSRNOG00000010349
ENSRNOT00000034389.7	ENSRNOG00000027204
ENSRNOT00000118262.1	ENSRNOG00000027204
ENSRNOT00000091774.2	ENSRNOG00000058651
ENSRNOT00000094005.1	ENSRNOG00000070886
ENSRNOT00000084100.2	ENSRNOG00000056005
ENSRNOT00000098672.1	ENSRNOG00000069847
ENSRNOT00000053576.3	ENSRNOG00000035453
ENSRNOT00000113057.1	ENSRNOG00000063396
ENSRNOT00000115120.1	ENSRNOG00000062736
ENSRNOT00000111127.1	ENSRNOG00000062736
ENSRNOT00000064982.3	ENSRNOG00000015499
ENSRNOT00000021008.8	ENSRNOG00000015499
ENSRNOT00000089433.2	ENSRNOG00000015499
ENSRNOT00000091106.2	ENSRNOG00000065199
ENSRNOT00000036394.7	ENSRNOG00000065199
ENSRNOT00000081824.2	ENSRNOG00000065199
ENSRNOT00000095853.1	ENSRNOG00000068709
ENSRNOT00000049686.2	ENSRNOG00000069410
ENSRNOT00000040740.5	ENSRNOG00000014903
ENSRNOT00000083287.2	ENSRNOG00000014903
ENSRNOT00000114879.1	ENSRNOG00000014903
ENSRNOT00000107917.1	ENSRNOG00000014903
ENSRNOT00000091269.2	ENSRNOG00000055477
ENSRNOT00000116218.1	ENSRNOG00000066157
ENSRNOT00000110601.1	ENSRNOG00000066157
ENSRNOT00000097599.1	ENSRNOG00000069518
ENSRNOT00000108709.1	ENSRNOG00000069518
ENSRNOT00000078018.2	ENSRNOG00000059537
ENSRNOT00000104733.1	ENSRNOG00000070280
ENSRNOT00000088190.2	ENSRNOG00000064304
ENSRNOT00000053653.2	ENSRNOG00000035530
ENSRNOT00000028588.7	ENSRNOG00000021051
ENSRNOT00000100389.1	ENSRNOG00000021051
ENSRNOT00000115939.1	ENSRNOG00000021051
ENSRNOT00000093965.1	ENSRNOG00000069804
ENSRNOT00000079066.2	ENSRNOG00000055569
ENSRNOT00000015084.7	ENSRNOG00000011160
ENSRNOT00000094322.1	ENSRNOG00000063599
ENSRNOT00000054887.4	ENSRNOG00000017748
ENSRNOT00000110396.1	ENSRNOG00000067237
ENSRNOT00000118402.1	ENSRNOG00000065307
ENSRNOT00000118050.1	ENSRNOG00000062707
ENSRNOT00000022406.7	ENSRNOG00000016227
ENSRNOT00000107315.1	ENSRNOG00000016227
ENSRNOT00000083316.2	ENSRNOG00000016227
ENSRNOT00000109827.1	ENSRNOG00000016227
ENSRNOT00000104274.1	ENSRNOG00000070826
ENSRNOT00000018233.4	ENSRNOG00000013395
ENSRNOT00000006329.7	ENSRNOG00000004753
ENSRNOT00000100069.1	ENSRNOG00000004753
ENSRNOT00000022879.6	ENSRNOG00000016906
ENSRNOT00000087735.2	ENSRNOG00000066860
ENSRNOT00000094420.1	ENSRNOG00000069365
ENSRNOT00000027539.8	ENSRNOG00000020317
ENSRNOT00000117031.1	ENSRNOG00000062499
ENSRNOT00000021001.6	ENSRNOG00000015691
ENSRNOT00000115720.1	ENSRNOG00000015691
ENSRNOT00000100347.1	ENSRNOG00000067382
ENSRNOT00000105656.1	ENSRNOG00000067821
ENSRNOT00000115981.1	ENSRNOG00000070448
ENSRNOT00000096320.1	ENSRNOG00000063062
ENSRNOT00000054424.2	ENSRNOG00000036303
ENSRNOT00000120310.1	ENSRNOG00000067171
ENSRNOT00000045360.2	ENSRNOG00000065290
ENSRNOT00000099133.1	ENSRNOG00000065800
ENSRNOT00000104792.1	ENSRNOG00000065800
ENSRNOT00000099889.1	ENSRNOG00000065800
ENSRNOT00000109449.1	ENSRNOG00000065902
ENSRNOT00000104640.1	ENSRNOG00000065902
ENSRNOT00000118665.1	ENSRNOG00000065902
ENSRNOT00000104315.1	ENSRNOG00000065902
ENSRNOT00000095063.1	ENSRNOG00000065902
ENSRNOT00000080513.2	ENSRNOG00000055366
ENSRNOT00000087657.2	ENSRNOG00000008463
ENSRNOT00000030224.6	ENSRNOG00000008463
ENSRNOT00000010788.5	ENSRNOG00000008121
ENSRNOT00000107805.1	ENSRNOG00000008121
ENSRNOT00000096917.1	ENSRNOG00000063706
ENSRNOT00000085357.2	ENSRNOG00000052293
ENSRNOT00000029587.3	ENSRNOG00000027582
ENSRNOT00000042968.3	ENSRNOG00000010595
ENSRNOT00000042245.2	ENSRNOG00000070096
ENSRNOT00000051533.3	ENSRNOG00000062311
ENSRNOT00000099346.1	ENSRNOG00000064522
ENSRNOT00000053655.2	ENSRNOG00000035532
ENSRNOT00000013031.7	ENSRNOG00000009830
ENSRNOT00000092900.2	ENSRNOG00000069707
ENSRNOT00000107997.1	ENSRNOG00000066257
ENSRNOT00000112741.1	ENSRNOG00000066257
ENSRNOT00000017019.8	ENSRNOG00000012742
ENSRNOT00000048699.2	ENSRNOG00000063184
ENSRNOT00000027581.8	ENSRNOG00000020337
ENSRNOT00000094158.1	ENSRNOG00000069617
ENSRNOT00000096350.1	ENSRNOG00000069837
ENSRNOT00000110036.1	ENSRNOG00000069837
ENSRNOT00000104109.1	ENSRNOG00000070569
ENSRNOT00000095398.1	ENSRNOG00000069135
ENSRNOT00000119721.1	ENSRNOG00000064137
ENSRNOT00000077375.2	ENSRNOG00000016408
ENSRNOT00000031743.2	ENSRNOG00000016408
ENSRNOT00000114198.1	ENSRNOG00000071210
ENSRNOT00000112010.1	ENSRNOG00000019455
ENSRNOT00000110237.1	ENSRNOG00000019455
ENSRNOT00000026382.6	ENSRNOG00000019455
ENSRNOT00000112580.1	ENSRNOG00000019455
ENSRNOT00000101755.1	ENSRNOG00000067491
ENSRNOT00000115090.1	ENSRNOG00000065122
ENSRNOT00000104150.1	ENSRNOG00000064435
ENSRNOT00000096435.1	ENSRNOG00000065990
ENSRNOT00000110648.1	ENSRNOG00000065939
ENSRNOT00000106476.1	ENSRNOG00000069092
ENSRNOT00000068048.4	ENSRNOG00000070655
ENSRNOT00000018495.7	ENSRNOG00000013767
ENSRNOT00000117400.1	ENSRNOG00000063387
ENSRNOT00000120149.1	ENSRNOG00000063387
ENSRNOT00000018489.6	ENSRNOG00000013790
ENSRNOT00000106348.1	ENSRNOG00000013790
ENSRNOT00000086149.2	ENSRNOG00000052521
ENSRNOT00000095737.1	ENSRNOG00000067619
ENSRNOT00000119779.1	ENSRNOG00000062759
ENSRNOT00000107365.1	ENSRNOG00000062759
ENSRNOT00000117118.1	ENSRNOG00000062759
ENSRNOT00000095258.1	ENSRNOG00000015184
ENSRNOT00000020497.8	ENSRNOG00000015184
ENSRNOT00000100858.1	ENSRNOG00000062791
ENSRNOT00000028389.7	ENSRNOG00000020893
ENSRNOT00000096490.1	ENSRNOG00000064203
ENSRNOT00000100879.1	ENSRNOG00000064203
ENSRNOT00000102685.1	ENSRNOG00000064203
ENSRNOT00000068459.4	ENSRNOG00000032699
ENSRNOT00000106376.1	ENSRNOG00000032699
ENSRNOT00000103317.1	ENSRNOG00000032699
ENSRNOT00000053739.3	ENSRNOG00000035616
ENSRNOT00000098208.1	ENSRNOG00000069698
ENSRNOT00000116002.1	ENSRNOG00000069698
ENSRNOT00000096496.1	ENSRNOG00000070996
ENSRNOT00000112589.1	ENSRNOG00000070996
ENSRNOT00000116795.1	ENSRNOG00000070996
ENSRNOT00000082390.2	ENSRNOG00000063324
ENSRNOT00000113888.1	ENSRNOG00000062446
ENSRNOT00000087608.2	ENSRNOG00000058041
ENSRNOT00000107998.1	ENSRNOG00000063227
ENSRNOT00000103669.1	ENSRNOG00000062864
ENSRNOT00000119910.1	ENSRNOG00000062864
ENSRNOT00000102989.1	ENSRNOG00000062864
ENSRNOT00000098608.1	ENSRNOG00000062864
ENSRNOT00000117236.1	ENSRNOG00000062864
ENSRNOT00000001607.7	ENSRNOG00000027016
ENSRNOT00000104492.1	ENSRNOG00000027016
ENSRNOT00000024829.6	ENSRNOG00000018408
ENSRNOT00000077968.2	ENSRNOG00000018408
ENSRNOT00000108983.1	ENSRNOG00000064960
ENSRNOT00000043307.2	ENSRNOG00000030782
ENSRNOT00000021971.5	ENSRNOG00000016421
ENSRNOT00000098132.1	ENSRNOG00000068207
ENSRNOT00000084578.2	ENSRNOG00000058299
ENSRNOT00000021562.7	ENSRNOG00000065756
ENSRNOT00000024690.5	ENSRNOG00000018334
ENSRNOT00000119652.1	ENSRNOG00000070685
ENSRNOT00000079634.2	ENSRNOG00000060004
ENSRNOT00000099117.1	ENSRNOG00000013074
ENSRNOT00000067940.4	ENSRNOG00000013074
ENSRNOT00000102019.1	ENSRNOG00000013074
ENSRNOT00000100677.1	ENSRNOG00000069399
ENSRNOT00000115004.1	ENSRNOG00000067907
ENSRNOT00000034610.5	ENSRNOG00000014726
ENSRNOT00000110797.1	ENSRNOG00000063196
ENSRNOT00000119586.1	ENSRNOG00000063196
ENSRNOT00000097908.1	ENSRNOG00000004967
ENSRNOT00000006900.8	ENSRNOG00000004967
ENSRNOT00000090187.2	ENSRNOG00000060273
ENSRNOT00000116104.1	ENSRNOG00000070216
ENSRNOT00000103635.1	ENSRNOG00000068917
ENSRNOT00000079223.2	ENSRNOG00000051969
ENSRNOT00000110965.1	ENSRNOG00000065221
ENSRNOT00000110261.1	ENSRNOG00000023407
ENSRNOT00000029531.6	ENSRNOG00000023407
ENSRNOT00000072992.2	ENSRNOG00000023407
ENSRNOT00000053777.2	ENSRNOG00000035654
ENSRNOT00000051289.6	ENSRNOG00000061890
ENSRNOT00000050010.4	ENSRNOG00000061890
ENSRNOT00000077408.2	ENSRNOG00000061890
ENSRNOT00000014552.8	ENSRNOG00000010529
ENSRNOT00000087373.2	ENSRNOG00000053392
ENSRNOT00000111604.1	ENSRNOG00000012684
ENSRNOT00000090755.2	ENSRNOG00000012684
ENSRNOT00000017006.8	ENSRNOG00000012684
ENSRNOT00000108611.1	ENSRNOG00000069040
ENSRNOT00000019121.5	ENSRNOG00000014258
ENSRNOT00000014517.6	ENSRNOG00000010918
ENSRNOT00000045231.2	ENSRNOG00000030825
ENSRNOT00000103280.1	ENSRNOG00000063357
ENSRNOT00000119436.1	ENSRNOG00000066483
ENSRNOT00000099476.1	ENSRNOG00000014617
ENSRNOT00000019713.7	ENSRNOG00000014617
ENSRNOT00000115005.1	ENSRNOG00000014617
ENSRNOT00000117115.1	ENSRNOG00000014617
ENSRNOT00000085710.2	ENSRNOG00000051780
ENSRNOT00000104840.1	ENSRNOG00000067027
ENSRNOT00000053683.2	ENSRNOG00000035560
ENSRNOT00000012086.7	ENSRNOG00000008980
ENSRNOT00000088431.2	ENSRNOG00000019416
ENSRNOT00000110811.1	ENSRNOG00000019416
ENSRNOT00000115645.1	ENSRNOG00000019416
ENSRNOT00000105628.1	ENSRNOG00000019416
ENSRNOT00000026252.5	ENSRNOG00000019416
ENSRNOT00000023325.4	ENSRNOG00000017366
ENSRNOT00000010019.5	ENSRNOG00000007608
ENSRNOT00000100084.1	ENSRNOG00000066968
ENSRNOT00000102824.1	ENSRNOG00000066968
ENSRNOT00000111468.1	ENSRNOG00000066968
ENSRNOT00000103153.1	ENSRNOG00000066968
ENSRNOT00000088510.2	ENSRNOG00000053012
ENSRNOT00000087676.2	ENSRNOG00000059864
ENSRNOT00000081101.2	ENSRNOG00000053838
ENSRNOT00000107911.1	ENSRNOG00000068567
ENSRNOT00000116937.1	ENSRNOG00000066506
ENSRNOT00000094281.1	ENSRNOG00000066506
ENSRNOT00000020806.8	ENSRNOG00000015294
ENSRNOT00000113013.1	ENSRNOG00000015294
ENSRNOT00000103053.1	ENSRNOG00000063945
ENSRNOT00000084704.2	ENSRNOG00000056110
ENSRNOT00000034252.4	ENSRNOG00000028721
ENSRNOT00000103439.1	ENSRNOG00000067832
ENSRNOT00000097704.1	ENSRNOG00000067832
ENSRNOT00000098342.1	ENSRNOG00000066101
ENSRNOT00000080414.2	ENSRNOG00000057261
ENSRNOT00000090675.2	ENSRNOG00000070161
ENSRNOT00000103943.1	ENSRNOG00000065242
ENSRNOT00000102066.1	ENSRNOG00000065242
ENSRNOT00000101208.1	ENSRNOG00000063217
ENSRNOT00000111264.1	ENSRNOG00000063217
ENSRNOT00000107322.1	ENSRNOG00000064622
ENSRNOT00000102697.1	ENSRNOG00000064622
ENSRNOT00000109095.1	ENSRNOG00000064622
ENSRNOT00000106304.1	ENSRNOG00000064622
ENSRNOT00000111411.1	ENSRNOG00000064622
ENSRNOT00000054808.5	ENSRNOG00000036631
ENSRNOT00000105736.1	ENSRNOG00000066494
ENSRNOT00000104072.1	ENSRNOG00000062875
ENSRNOT00000044183.5	ENSRNOG00000016659
ENSRNOT00000022382.6	ENSRNOG00000016659
ENSRNOT00000086696.2	ENSRNOG00000059820
ENSRNOT00000073580.2	ENSRNOG00000049846
ENSRNOT00000020077.8	ENSRNOG00000014946
ENSRNOT00000084389.2	ENSRNOG00000014946
ENSRNOT00000094067.1	ENSRNOG00000067771
ENSRNOT00000111736.1	ENSRNOG00000070965
ENSRNOT00000012831.4	ENSRNOG00000009468
ENSRNOT00000100522.1	ENSRNOG00000009468
ENSRNOT00000101972.1	ENSRNOG00000065570
ENSRNOT00000097086.1	ENSRNOG00000063736
ENSRNOT00000095767.1	ENSRNOG00000069752
ENSRNOT00000117658.1	ENSRNOG00000069752
ENSRNOT00000100023.1	ENSRNOG00000069390
ENSRNOT00000083551.2	ENSRNOG00000020318
ENSRNOT00000116508.1	ENSRNOG00000020318
ENSRNOT00000051640.3	ENSRNOG00000020318
ENSRNOT00000071842.3	ENSRNOG00000047406
ENSRNOT00000100235.1	ENSRNOG00000070104
ENSRNOT00000068499.3	ENSRNOG00000009135
ENSRNOT00000073233.3	ENSRNOG00000050445
ENSRNOT00000040055.2	ENSRNOG00000067778
ENSRNOT00000112694.1	ENSRNOG00000069614
ENSRNOT00000116385.1	ENSRNOG00000069896
ENSRNOT00000096816.1	ENSRNOG00000067200
ENSRNOT00000053688.2	ENSRNOG00000035565
ENSRNOT00000043023.2	ENSRNOG00000031110
ENSRNOT00000114125.1	ENSRNOG00000010628
ENSRNOT00000106299.1	ENSRNOG00000010628
ENSRNOT00000014377.5	ENSRNOG00000010628
ENSRNOT00000085804.2	ENSRNOG00000058224
ENSRNOT00000096504.1	ENSRNOG00000067930
ENSRNOT00000109502.1	ENSRNOG00000022491
ENSRNOT00000036209.4	ENSRNOG00000022491
ENSRNOT00000076015.3	ENSRNOG00000051199
ENSRNOT00000089165.2	ENSRNOG00000051199
ENSRNOT00000022226.4	ENSRNOG00000016597
ENSRNOT00000111961.1	ENSRNOG00000064367
ENSRNOT00000095150.1	ENSRNOG00000064092
ENSRNOT00000115905.1	ENSRNOG00000064252
ENSRNOT00000100415.1	ENSRNOG00000067132
ENSRNOT00000111334.1	ENSRNOG00000068454
ENSRNOT00000105599.1	ENSRNOG00000067999
ENSRNOT00000029655.5	ENSRNOG00000028095
ENSRNOT00000025829.8	ENSRNOG00000018953
ENSRNOT00000110504.1	ENSRNOG00000018953
ENSRNOT00000092048.2	ENSRNOG00000018953
ENSRNOT00000108624.1	ENSRNOG00000069628
ENSRNOT00000114512.1	ENSRNOG00000062564
ENSRNOT00000094847.1	ENSRNOG00000065292
ENSRNOT00000112518.1	ENSRNOG00000065292
ENSRNOT00000077441.2	ENSRNOG00000018940
ENSRNOT00000025621.4	ENSRNOG00000018940
ENSRNOT00000098724.1	ENSRNOG00000068976
ENSRNOT00000083729.2	ENSRNOG00000052649
ENSRNOT00000098627.1	ENSRNOG00000052649
ENSRNOT00000115609.1	ENSRNOG00000052649
ENSRNOT00000109665.1	ENSRNOG00000052649
ENSRNOT00000018696.5	ENSRNOG00000013945
ENSRNOT00000100648.1	ENSRNOG00000013945
ENSRNOT00000117339.1	ENSRNOG00000068179
ENSRNOT00000113565.1	ENSRNOG00000068179
ENSRNOT00000115025.1	ENSRNOG00000068179
ENSRNOT00000116322.1	ENSRNOG00000068368
ENSRNOT00000113095.1	ENSRNOG00000070203
ENSRNOT00000108387.1	ENSRNOG00000065397
ENSRNOT00000101391.1	ENSRNOG00000067004
ENSRNOT00000062200.2	ENSRNOG00000040447
ENSRNOT00000029197.6	ENSRNOG00000033706
ENSRNOT00000045531.4	ENSRNOG00000031947
ENSRNOT00000022193.7	ENSRNOG00000016565
ENSRNOT00000105172.1	ENSRNOG00000066104
ENSRNOT00000072310.2	ENSRNOG00000065362
ENSRNOT00000118416.1	ENSRNOG00000066508
ENSRNOT00000075730.3	ENSRNOG00000061455
ENSRNOT00000012196.6	ENSRNOG00000009172
ENSRNOT00000085812.2	ENSRNOG00000009172
ENSRNOT00000000107.7	ENSRNOG00000000096
ENSRNOT00000115886.1	ENSRNOG00000014385
ENSRNOT00000019349.5	ENSRNOG00000014385
ENSRNOT00000025949.7	ENSRNOG00000019138
ENSRNOT00000113316.1	ENSRNOG00000019138
ENSRNOT00000020678.5	ENSRNOG00000015424
ENSRNOT00000119389.1	ENSRNOG00000011135
ENSRNOT00000015032.6	ENSRNOG00000011135
ENSRNOT00000089648.2	ENSRNOG00000011135
ENSRNOT00000017615.3	ENSRNOG00000013198
ENSRNOT00000090044.2	ENSRNOG00000056351
ENSRNOT00000099785.1	ENSRNOG00000065052
ENSRNOT00000053695.2	ENSRNOG00000035572
ENSRNOT00000082912.2	ENSRNOG00000022511
ENSRNOT00000033404.8	ENSRNOG00000022511
ENSRNOT00000117451.1	ENSRNOG00000066793
ENSRNOT00000115751.1	ENSRNOG00000069359
ENSRNOT00000097887.1	ENSRNOG00000021695
ENSRNOT00000009435.6	ENSRNOG00000021695
ENSRNOT00000119336.1	ENSRNOG00000069866
ENSRNOT00000112389.1	ENSRNOG00000068014
ENSRNOT00000104236.1	ENSRNOG00000065728
ENSRNOT00000117716.1	ENSRNOG00000065452
ENSRNOT00000114066.1	ENSRNOG00000065452
ENSRNOT00000008837.6	ENSRNOG00000006731
ENSRNOT00000103607.1	ENSRNOG00000066286
ENSRNOT00000026263.6	ENSRNOG00000065649
ENSRNOT00000095744.1	ENSRNOG00000066961
ENSRNOT00000095172.1	ENSRNOG00000068275
ENSRNOT00000073539.3	ENSRNOG00000053559
ENSRNOT00000091920.2	ENSRNOG00000067357
ENSRNOT00000097736.1	ENSRNOG00000065871
ENSRNOT00000105552.1	ENSRNOG00000065871
ENSRNOT00000114976.1	ENSRNOG00000065871
ENSRNOT00000116755.1	ENSRNOG00000065871
ENSRNOT00000053676.3	ENSRNOG00000035553
ENSRNOT00000109115.1	ENSRNOG00000065021
ENSRNOT00000100268.1	ENSRNOG00000065021
ENSRNOT00000110598.1	ENSRNOG00000065021
ENSRNOT00000084890.2	ENSRNOG00000056667
ENSRNOT00000109093.1	ENSRNOG00000064785
ENSRNOT00000075021.2	ENSRNOG00000050663
ENSRNOT00000106765.1	ENSRNOG00000014753
ENSRNOT00000020005.8	ENSRNOG00000014753
ENSRNOT00000094414.1	ENSRNOG00000064423
ENSRNOT00000104569.1	ENSRNOG00000064423
ENSRNOT00000096107.1	ENSRNOG00000064423
ENSRNOT00000094675.1	ENSRNOG00000063455
ENSRNOT00000103335.1	ENSRNOG00000016574
ENSRNOT00000022236.7	ENSRNOG00000016574
ENSRNOT00000104581.1	ENSRNOG00000069279
ENSRNOT00000111037.1	ENSRNOG00000062826
ENSRNOT00000091657.2	ENSRNOG00000055971
ENSRNOT00000109685.1	ENSRNOG00000068157
ENSRNOT00000052350.6	ENSRNOG00000032137
ENSRNOT00000073825.2	ENSRNOG00000050364
ENSRNOT00000087310.2	ENSRNOG00000060473
ENSRNOT00000114411.1	ENSRNOG00000068108
ENSRNOT00000088746.2	ENSRNOG00000055608
ENSRNOT00000011035.6	ENSRNOG00000008282
ENSRNOT00000095913.1	ENSRNOG00000008282
ENSRNOT00000111593.1	ENSRNOG00000064687
ENSRNOT00000072815.2	ENSRNOG00000048436
ENSRNOT00000019053.7	ENSRNOG00000013641
ENSRNOT00000103282.1	ENSRNOG00000013641
ENSRNOT00000027575.8	ENSRNOG00000020347
ENSRNOT00000117464.1	ENSRNOG00000020347
ENSRNOT00000027590.7	ENSRNOG00000020347
ENSRNOT00000118259.1	ENSRNOG00000064568
ENSRNOT00000113472.1	ENSRNOG00000064568
ENSRNOT00000118218.1	ENSRNOG00000064568
ENSRNOT00000108849.1	ENSRNOG00000062622
ENSRNOT00000116277.1	ENSRNOG00000062622
ENSRNOT00000090000.2	ENSRNOG00000052014
ENSRNOT00000115975.1	ENSRNOG00000068500
ENSRNOT00000119699.1	ENSRNOG00000065259
ENSRNOT00000014780.7	ENSRNOG00000011052
ENSRNOT00000053711.2	ENSRNOG00000035588
ENSRNOT00000083738.2	ENSRNOG00000053464
ENSRNOT00000022895.5	ENSRNOG00000016837
ENSRNOT00000107425.1	ENSRNOG00000069139
ENSRNOT00000102968.1	ENSRNOG00000068222
ENSRNOT00000039453.7	ENSRNOG00000025953
ENSRNOT00000114359.1	ENSRNOG00000025953
ENSRNOT00000081423.2	ENSRNOG00000009792
ENSRNOT00000095617.1	ENSRNOG00000009792
ENSRNOT00000013111.7	ENSRNOG00000009792
ENSRNOT00000112234.1	ENSRNOG00000011758
ENSRNOT00000015722.8	ENSRNOG00000011758
ENSRNOT00000108707.1	ENSRNOG00000011758
ENSRNOT00000082636.2	ENSRNOG00000052367
ENSRNOT00000104121.1	ENSRNOG00000066571
ENSRNOT00000096278.1	ENSRNOG00000068350
ENSRNOT00000049057.6	ENSRNOG00000061525
ENSRNOT00000070831.2	ENSRNOG00000046704
ENSRNOT00000051894.3	ENSRNOG00000034083
ENSRNOT00000083018.2	ENSRNOG00000057516
ENSRNOT00000080126.2	ENSRNOG00000053512
ENSRNOT00000021268.8	ENSRNOG00000015821
ENSRNOT00000022349.5	ENSRNOG00000016608
ENSRNOT00000027745.7	ENSRNOG00000027112
ENSRNOT00000117580.1	ENSRNOG00000069192
ENSRNOT00000107158.1	ENSRNOG00000004679
ENSRNOT00000006175.7	ENSRNOG00000004679
ENSRNOT00000016959.7	ENSRNOG00000012730
ENSRNOT00000106564.1	ENSRNOG00000012730
ENSRNOT00000111662.1	ENSRNOG00000068539
ENSRNOT00000091882.2	ENSRNOG00000052903
ENSRNOT00000081298.2	ENSRNOG00000052937
ENSRNOT00000057478.2	ENSRNOG00000037833
ENSRNOT00000117561.1	ENSRNOG00000018117
ENSRNOT00000024517.7	ENSRNOG00000018117
ENSRNOT00000075015.2	ENSRNOG00000049017
ENSRNOT00000085904.2	ENSRNOG00000051561
ENSRNOT00000094275.1	ENSRNOG00000069848
ENSRNOT00000098319.1	ENSRNOG00000069848
ENSRNOT00000097694.1	ENSRNOG00000069848
ENSRNOT00000091498.2	ENSRNOG00000067136
ENSRNOT00000017572.5	ENSRNOG00000063952
ENSRNOT00000061342.6	ENSRNOG00000022837
ENSRNOT00000030352.7	ENSRNOG00000022837
ENSRNOT00000098158.1	ENSRNOG00000022837
ENSRNOT00000118097.1	ENSRNOG00000068720
ENSRNOT00000021893.7	ENSRNOG00000016362
ENSRNOT00000016182.6	ENSRNOG00000026055
ENSRNOT00000079268.2	ENSRNOG00000056231
ENSRNOT00000097129.1	ENSRNOG00000063054
ENSRNOT00000109881.1	ENSRNOG00000010616
ENSRNOT00000014445.5	ENSRNOG00000010616
ENSRNOT00000100221.1	ENSRNOG00000010616
ENSRNOT00000101422.1	ENSRNOG00000069366
ENSRNOT00000098760.1	ENSRNOG00000069366
ENSRNOT00000096495.1	ENSRNOG00000069366
ENSRNOT00000100341.1	ENSRNOG00000067565
ENSRNOT00000029537.5	ENSRNOG00000013671
ENSRNOT00000095166.1	ENSRNOG00000017307
ENSRNOT00000080927.2	ENSRNOG00000017307
ENSRNOT00000023239.5	ENSRNOG00000017307
ENSRNOT00000115268.1	ENSRNOG00000017307
ENSRNOT00000111241.1	ENSRNOG00000065133
ENSRNOT00000118211.1	ENSRNOG00000065133
ENSRNOT00000108797.1	ENSRNOG00000066105
ENSRNOT00000104420.1	ENSRNOG00000064098
ENSRNOT00000053703.3	ENSRNOG00000035580
ENSRNOT00000019189.7	ENSRNOG00000014000
ENSRNOT00000093988.1	ENSRNOG00000014000
ENSRNOT00000085524.2	ENSRNOG00000056252
ENSRNOT00000106444.1	ENSRNOG00000067915
ENSRNOT00000107739.1	ENSRNOG00000037356
ENSRNOT00000114769.1	ENSRNOG00000037356
ENSRNOT00000056522.5	ENSRNOG00000037356
ENSRNOT00000117729.1	ENSRNOG00000037356
ENSRNOT00000095925.1	ENSRNOG00000037356
ENSRNOT00000020953.5	ENSRNOG00000015649
ENSRNOT00000115159.1	ENSRNOG00000067235
ENSRNOT00000100749.1	ENSRNOG00000064348
ENSRNOT00000118914.1	ENSRNOG00000064348
ENSRNOT00000081929.2	ENSRNOG00000054785
ENSRNOT00000097781.1	ENSRNOG00000020942
ENSRNOT00000028423.6	ENSRNOG00000020942
ENSRNOT00000098814.1	ENSRNOG00000020942
ENSRNOT00000110605.1	ENSRNOG00000070165
ENSRNOT00000103394.1	ENSRNOG00000018441
ENSRNOT00000025315.6	ENSRNOG00000018441
ENSRNOT00000110295.1	ENSRNOG00000018441
ENSRNOT00000077287.2	ENSRNOG00000069629
ENSRNOT00000107866.1	ENSRNOG00000065481
ENSRNOT00000057001.4	ENSRNOG00000008738
ENSRNOT00000116468.1	ENSRNOG00000008738
ENSRNOT00000040608.2	ENSRNOG00000032600
ENSRNOT00000115178.1	ENSRNOG00000070892
ENSRNOT00000111782.1	ENSRNOG00000067951
ENSRNOT00000115860.1	ENSRNOG00000067817
